experiment_name, lr, init_std, l2_reg, num_train, batch_size, bond_dim, num_epochs, num_test, dynamic_mode, periodic_bc, loss, train_acc, test_acc
OPEN_BC, 2.1473925756433864e-09, 9.394368174929005e-23, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.3025825023651123, 0.087, 0.069
OPEN_BC, 1.9783214174422084e-05, 1.786769016354739e-14, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.0697596073150635, 0.16999999999999998, 0.2322000000000001
OPEN_BC, 0.04514678814766064, 6.953528186808072e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 1.4355741387529912e+26, 0.06699999999999999, 0.0874
OPEN_BC, 0.0003671119540319611, 2.219771803374536e-11, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 0.4123725891113281, 0.867, 0.732
OPEN_BC, 0.033272621424205125, 9.341154565162146e-18, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.6981903037107332e+23, 0.10200000000000001, 0.0966
OPEN_BC, 0.03081325044716425, 7.395332735776974e-13, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 3.8938960047776e+22, 0.10600000000000001, 0.11340000000000003
OPEN_BC, 4.71883901505432e-05, 5.0827913620845225e-17, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 1.6590973138809204, 0.3530000000000001, 0.3295999999999999
OPEN_BC, 0.00029067204331600124, 3.810283718606768e-12, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 0.38116079568862915, 0.875, 0.7161999999999997
PERIODIC_BC, 4.047351151935794e-05, 1.05281291259154e-12, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 1.0374850034713745, 0.677, 0.5676
PERIODIC_BC, 0.07431922323664197, 4.89834633844367e-06, 0.0, 1000, 100, 15, 10, 5000, 0, 1, -1, -1, -1
PERIODIC_BC, 0.0005723311797499675, 8.05296379490708e-13, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.9357465505599976, 0.712, 0.6582000000000001
PERIODIC_BC, 1.3103766199347549e-08, 2.005909123365151e-06, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.3025834560394287, 0.11099999999999999, 0.11319999999999998
PERIODIC_BC, 3.265493949541397e-07, 1.733562970652181e-13, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.302563428878784, 0.11599999999999999, 0.11419999999999997
PERIODIC_BC, 1.1219650627463583e-05, 1.5246910915809338e-09, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 1.941044569015503, 0.24699999999999997, 0.2759999999999999
PERIODIC_BC, 0.005561226765619136, 73958.11414858987, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.179201126098633, 0.21899999999999994, 0.2156000000000001
PERIODIC_BC, 5.804368772883867e-05, 59835.7593757802, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.549960196018219, 0.833, 0.6951999999999998
PERIODIC_BC, 3.6848026423208074e-05, 3422834.26285005, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.7960317730903625, 0.734, 0.5832
PERIODIC_BC, 0.00013092514129570365, 1.3998312767087295, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.46255746483802795, 0.8539999999999999, 0.7389999999999999
PERIODIC_BC, 0.000204, 2.19e-09, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.9638147354125977, 0.711, 0.5811999999999998
PERIODIC_BC, 0.004519274582893711, 1115673.8850177992, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.3029255867004395, 0.16799999999999998, 0.17740000000000006
PERIODIC_BC, 4.325939650133516e-06, 0.4580433398598923, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.293755292892456, 0.11599999999999999, 0.11419999999999997
